Android17.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_truth
HttpClient,android.net.HttpClient,org.apache.http.client.HttpClient,0,org.apache.http.client.HttpClient
new DefaultHttpClient(),java.net.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,0,org.apache.http.impl.client.DefaultHttpClient
HttpGet,java.net.HttpGet,org.apache.http.client.methods.HttpGet,0,org.apache.http.client.methods.HttpGet
HttpGet,java.net.HttpGet,org.apache.http.client.methods.HttpGet,0,org.apache.http.client.methods.HttpGet
URI,java.net.URI,java.net.URI,1,java.net.URI
HttpResponse,org.apache.http.HttpResponse,org.apache.http.HttpResponse,1,org.apache.http.HttpResponse
Log,android.util.Log,android.util.Log,1,android.util.Log
IOException,java.io.IOException,java.io.IOException,1,java.io.IOException
URISyntaxException,java.net.URISyntaxException,java.net.URISyntaxException,1,java.net.URISyntaxException
HttpEntity,java.net.HttpEntity,org.apache.http.HttpEntity,0,org.apache.http.HttpEntity
InputStreamReader,java.io.InputStreamReader,java.io.InputStreamReader,1,java.io.InputStreamReader
InputStreamReader,java.io.InputStreamReader,java.io.InputStreamReader,1,java.io.InputStreamReader
