Class_21.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1,-,-,0,1
Component,java.awt.Component,java.awt.Component,1,-,-,0,1
new BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1,-,-,0,1
JFrame,javax.swing.JFrame,javax.swing.JFrame,1,-,-,0,1
new JFrame,javax.swing.JFrame,javax.swing.JFrame,1,-,-,0,1
JMenuItem,javax.swing.JMenuItem,javax.swing.JMenuItem,1,-,-,0,1
new JMenuItem,javax.swing.JMenuItem,javax.swing.JMenuItem,1,-,-,0,1
KeyStroke,javax.swing.KeyStroke,javax.swing.KeyStroke,1,-,-,0,1
KeyEvent,java.awt.event.KeyEvent,java.awt.event.KeyEvent,1,-,-,0,1
InputEvent,java.awt.event.InputEvent,java.awt.event.InputEvent,1,-,-,0,1
new ActionListener(),java.awt.event.ActionListener,java.awt.event.ActionListener,1,-,-,0,1
JMenu,javax.swing.JMenu,javax.swing.JMenu,1,-,-,0,1
new JMenu,javax.swing.JMenu,javax.swing.JMenu,1,-,-,0,1
JMenuBar,javax.swing.JMenuBar,javax.swing.JMenuBar,1,-,-,0,1
new JMenuBar(),javax.swing.JMenuBar,javax.swing.JMenuBar,1,-,-,0,1
JPanel,javax.swing.JPanel,javax.swing.JPanel,1,-,-,0,1
new JPanel,javax.swing.JPanel,javax.swing.JPanel,1,-,-,0,1
new BorderLayout,java.awt.BorderLayout,java.awt.BorderLayout,1,-,-,0,1
new TitledBorder,javax.swing.border.TitledBorder,javax.swing.border.TitledBorder,1,-,-,0,1
new JScrollPane,javax.swing.JScrollPane,javax.swing.JScrollPane,1,-,-,0,1
new JTree(),javax.swing.JTree,javax.swing.JTree,1,-,-,0,1
BorderLayout,java.awt.BorderLayout,java.awt.BorderLayout,1,-,-,0,1
new JTextArea,javax.swing.JTextArea,javax.swing.JTextArea,1,-,-,0,1
SwingUtilities,javax.swing.SwingUtilities,javax.swing.SwingUtilities,1,-,-,0,1
dl_correct:24,dl_accuracy:1.0,,rule_correct:0,rule_checked:0,rule_accuracy:0,rule_recall:0.0
checked:24,total correct:24,total accuracy:1.0
