Class_2.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_truth
JFrame,javax.swing.JFrame,javax.swing.JFrame,1,javax.swing.JFrame
JFrame,javax.swing.JFrame,javax.swing.JFrame,1,javax.swing.JFrame
JPanel,javax.swing.JPanel,javax.swing.JPanel,1,javax.swing.JPanel
JPanel,javax.swing.JPanel,javax.swing.JPanel,1,javax.swing.JPanel
BorderLayout,javax.swing.BorderLayout,java.awt.BorderLayout,0,java.awt.BorderLayout
TitledBorder,javax.swing.TitledBorder,javax.swing.border.TitledBorder,0,javax.swing.border.TitledBorder
FlowLayout,javax.swing.FlowLayout,java.awt.FlowLayout,0,java.awt.FlowLayout
FlowLayout,javax.swing.LayoutLayout.FlowLayout,java.awt.FlowLayout,0,java.awt.FlowLayout
UIManager,javax.swing.UIManager,javax.swing.UIManager,1,javax.swing.UIManager
JComboBox,javax.swing.JComboBox,javax.swing.JComboBox,1,javax.swing.JComboBox
JComboBox,javax.swing.JComboBox,javax.swing.JComboBox,1,javax.swing.JComboBox
JCheckBox,javax.swing.JCheckBox,javax.swing.JCheckBox,1,javax.swing.JCheckBox
JCheckBox,javax.swing.JCheckBox,javax.swing.JCheckBox,1,javax.swing.JCheckBox
ActionListener,javax.swing.event.ActionListener,java.awt.event.ActionListener,0,java.awt.event.ActionListener
BorderLayout,java.awt.BorderLayout,java.awt.BorderLayout,1,java.awt.BorderLayout
GridLayout,java.awt.GridLayout,java.awt.GridLayout,1,java.awt.GridLayout
JButton,javax.swing.JButton,javax.swing.JButton,1,javax.swing.JButton
JButton,javax.swing.JButton,javax.swing.JButton,1,javax.swing.JButton
JScrollPane,javax.swing.JScrollPane,javax.swing.JScrollPane,1,javax.swing.JScrollPane
DefaultTableModel,javax.swing.table.DefaultTableModel,javax.swing.table.DefaultTableModel,1,javax.swing.table.DefaultTableModel
DefaultTableModel,javax.swing.table.DefaultTableModel,javax.swing.table.DefaultTableModel,1,javax.swing.table.DefaultTableModel
JTable,javax.swing.table.JTable,javax.swing.JTable,0,javax.swing.JTable
JTable,javax.swing.JTable,javax.swing.JTable,1,javax.swing.JTable
JScrollPane,javax.swing.JScrollPane,javax.swing.JScrollPane,1,javax.swing.JScrollPane
Dimension,java.awt.Dimension,java.awt.Dimension,1,java.awt.Dimension
Dimension,java.awt.Dimension,java.awt.Dimension,1,java.awt.Dimension
new GridBagLayout(),java.awt.GridBagLayout,java.awt.GridBagLayout,1,java.awt.GridBagLayout
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1,java.awt.image.BufferedImage
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1,java.awt.image.BufferedImage
Graphics2D,java.awt.Graphics,java.awt.Graphics,1,java.awt.Graphics2D
GradientPaint,java.awt.image.GradientPaint,java.awt.GradientPaint,0,java.awt.GradientPaint
GradientPaint,java.awt.GradientPaint,java.awt.GradientPaint,1,java.awt.GradientPaint
Color,java.awt.Color,java.awt.Color,1,java.awt.Color
ImageIcon,javax.swing.ImageIcon,javax.swing.ImageIcon,1,javax.swing.ImageIcon
ImageIcon,javax.swing.ImageIcon,javax.swing.ImageIcon,1,javax.swing.ImageIcon
JLabel,javax.swing.JLabel,javax.swing.JLabel,1,javax.swing.JLabel
JLabel,javax.swing.JLabel,javax.swing.JLabel,1,javax.swing.JLabel
JSplitPane,javax.swing.JSplitPane,javax.swing.JSplitPane,1,javax.swing.JSplitPane
JSplitPane,javax.swing.JSplitPane,javax.swing.JSplitPane,1,javax.swing.JSplitPane
SwingUtilities,javax.swing.SwingUtilities,javax.swing.SwingUtilities,1,javax.swing.SwingUtilities
