Class_22.java
Node,SNR_pred,SNR_truth,SNR_correct
JFrame,javax.swing.JFrame,javax.swing.JFrame,1
JProgressBar,javax.swing.JProgressBar,javax.swing.JProgressBar,1
JProgressBar,javax.swing.JProgressBar,javax.swing.JProgressBar,1
JLabel,javax.swing.JLabel,javax.swing.JLabel,1
JLabel,javax.swing.JLabel,javax.swing.JLabel,1
new GridLayout,-,-,0
new PropertyChangeListener(),-,-,0
SwingWorker,javax.swing.SwingWorker,javax.swing.SwingWorker,1
DecimalFormat,java.text.DecimalFormat,java.text.DecimalFormat,1
DecimalFormat,java.text.DecimalFormat,java.text.DecimalFormat,1
List,java.util.List,java.util.List,1
EventQueue,java.awt.EventQueue,java.awt.EventQueue,1
Container,java.awt.Container,java.awt.Container,1
JFrame,javax.swing.JFrame,javax.swing.JFrame,1
