Class_20.java
Node,SNR_pred,SNR_truth,SNR_correct
DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1
DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1
BufferedInputStream,java.io.BufferedInputStream,java.io.BufferedInputStream,1
DataOutputStream,java.io.DataOutputStream,java.io.DataOutputStream,1
DataOutputStream,java.io.DataOutputStream,java.io.DataOutputStream,1
BufferedOutputStream,java.io.BufferedOutputStream,java.io.BufferedOutputStream,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1
File,java.io.File,java.io.File,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1
File,java.io.File,java.io.File,1
FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1
FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1
IOException,java.io.IOException,java.io.IOException,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1
