Class_2.java
Node,SNR_pred,SNR_truth,SNR_correct
JFrame,javax.swing.JFrame,javax.swing.JFrame,1
JFrame,javax.swing.JFrame,javax.swing.JFrame,1
JPanel,javax.swing.JPanel,javax.swing.JPanel,1
JPanel,javax.swing.JPanel,javax.swing.JPanel,1
BorderLayout,java.awt.BorderLayout,java.awt.BorderLayout,1
TitledBorder,javax.swing.border.TitledBorder,javax.swing.border.TitledBorder,1
FlowLayout,java.awt.FlowLayout,java.awt.FlowLayout,1
FlowLayout,java.awt.FlowLayout,java.awt.FlowLayout,1
UIManager,javax.swing.UIManager,javax.swing.UIManager,1
JComboBox,javax.swing.JComboBox,javax.swing.JComboBox,1
JComboBox,javax.swing.JComboBox,javax.swing.JComboBox,1
JCheckBox,javax.swing.JCheckBox,javax.swing.JCheckBox,1
JCheckBox,javax.swing.JCheckBox,javax.swing.JCheckBox,1
ActionListener,java.awt.event.ActionListener,java.awt.event.ActionListener,1
BorderLayout,java.awt.BorderLayout,java.awt.BorderLayout,1
GridLayout,java.awt.GridLayout,java.awt.GridLayout,1
JButton,javax.swing.JButton,javax.swing.JButton,1
JButton,javax.swing.JButton,javax.swing.JButton,1
JScrollPane,javax.swing.JScrollPane,javax.swing.JScrollPane,1
DefaultTableModel,javax.swing.table.DefaultTableModel,javax.swing.table.DefaultTableModel,1
DefaultTableModel,javax.swing.table.DefaultTableModel,javax.swing.table.DefaultTableModel,1
JTable,javax.swing.JTable,javax.swing.JTable,1
JTable,javax.swing.JTable,javax.swing.JTable,1
JScrollPane,javax.swing.JScrollPane,javax.swing.JScrollPane,1
Dimension,java.awt.Dimension,java.awt.Dimension,1
Dimension,java.awt.Dimension,java.awt.Dimension,1
new GridBagLayout(),java.awt.GridBagLayout,java.awt.GridBagLayout,1
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1
Graphics2D,java.awt.Graphics2D,java.awt.Graphics2D,1
GradientPaint,java.awt.GradientPaint,java.awt.GradientPaint,1
GradientPaint,java.awt.GradientPaint,java.awt.GradientPaint,1
Color,java.awt.Color,java.awt.Color,1
ImageIcon,javax.swing.ImageIcon,javax.swing.ImageIcon,1
ImageIcon,javax.swing.ImageIcon,javax.swing.ImageIcon,1
JLabel,javax.swing.JLabel,javax.swing.JLabel,1
JLabel,javax.swing.JLabel,javax.swing.JLabel,1
JSplitPane,javax.swing.JSplitPane,javax.swing.JSplitPane,1
JSplitPane,javax.swing.JSplitPane,javax.swing.JSplitPane,1
SwingUtilities,javax.swing.SwingUtilities,javax.swing.SwingUtilities,1
