Class_1.java
Node,SNR_pred,SNR_truth,SNR_correct
IOException,java.io.IOException,java.io.IOException,1
Graphics,java.awt.Graphics,java.awt.Graphics,1
FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1
WindowAdapter,java.awt.event.WindowAdapter,java.awt.event.WindowAdapter,1
Container,java.awt.Container,java.awt.Container,1
Container,java.awt.Container,java.awt.Container,1
Dimension,java.awt.Dimension,java.awt.Dimension,1
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1
ObjectInputStream,java.io.ObjectInputStream,java.io.ObjectInputStream,1
ObjectInputStream,java.io.ObjectInputStream,java.io.ObjectInputStream,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1
Applet,java.applet.Applet,java.applet.Applet,1
