hibernate_class_28.java
Node,SNR_pred,SNR_truth,SNR_correct
Entity,javax.persistence.Entity,javax.persistence.Entity,1
Serializable,java.io.Serializable,java.io.Serializable,1
Id,javax.persistence.Id,javax.persistence.Id,1
GeneratedValue,javax.persistence.GeneratedValue,javax.persistence.GeneratedValue,1
ManyToOne,javax.persistence.ManyToOne,javax.persistence.ManyToOne,1
JoinColumn,javax.persistence.JoinColumn,javax.persistence.JoinColumn,1
User,library.model.User,library.model.User,1
OneToMany,javax.persistence.OneToMany,javax.persistence.OneToMany,1
IndexColumn,org.hibernate.annotations.IndexColumn,org.hibernate.annotations.IndexColumn,1
List,java.util.List,java.util.List,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1
Column,javax.persistence.Column,javax.persistence.Column,1
