Class_1.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
IOException,java.io.IOException,java.io.IOException,1,java.io.IOException,java.io.IOException,1,1
Graphics,java.awt.Graphics,java.awt.Graphics,1,java.awt.Graphics,java.awt.Graphics,1,1
FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1,java.io.FileOutputStream,java.io.FileOutputStream,1,1
WindowAdapter,java.awt.event.WindowAdapter,java.awt.event.WindowAdapter,1,java.awt.event.WindowAdapter,java.awt.event.WindowAdapter,1,1
Container,java.awt.Container,java.awt.Container,1,java.awt.Container,java.awt.Container,1,1
Container,java.awt.Container,java.awt.Container,1,java.awt.Container,java.awt.Container,1,1
Dimension,java.awt.Dimension,java.awt.Dimension,1,java.awt.Dimension,java.awt.Dimension,1,1
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1,1
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1,1
ObjectInputStream,java.io.ObjectInputStream,java.io.ObjectInputStream,1,java.io.ObjectInputStream,java.io.ObjectInputStream,1,1
ObjectInputStream,java.io.ObjectInputStream,java.io.ObjectInputStream,1,java.io.ObjectInputStream,java.io.ObjectInputStream,1,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1,java.io.FileInputStream,java.io.FileInputStream,1,1
Applet,java.applet.Applet,java.applet.Applet,1,java.applet.Applet,java.applet.Applet,1,1
dl_correct:13,dl_precision:1.0,,rule_correct:13,rule_checked:13,rule_precision:1.0,rule_recall:1.0
checked:13,total correct:13,total precision:1.0
