xstream_class_33.java
Node,SNR_pred,SNR_truth,SNR_correct
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1
new DomDriver(),com.thoughtworks.xstream.io.xml.DomDriver,com.thoughtworks.xstream.io.xml.DomDriver,1
ActionMessage,flex.messaging.io.amf.ActionMessage,flex.messaging.io.amf.ActionMessage,1
MessageHeader,flex.messaging.io.amf.MessageHeader,flex.messaging.io.amf.MessageHeader,1
MessageBody,flex.messaging.io.amf.MessageBody,flex.messaging.io.amf.MessageBody,1
RemotingMessage,flex.messaging.messages.RemotingMessage,flex.messaging.messages.RemotingMessage,1
CommandMessage,flex.messaging.messages.CommandMessage,flex.messaging.messages.CommandMessage,1
AcknowledgeMessage,flex.messaging.messages.AcknowledgeMessage,flex.messaging.messages.AcknowledgeMessage,1
ErrorMessage,flex.messaging.messages.ErrorMessage,flex.messaging.messages.ErrorMessage,1
ASObject,flex.messaging.io.amf.ASObject,flex.messaging.io.amf.ASObject,1
AsyncMessage,flex.messaging.messages.AsyncMessage,flex.messaging.messages.AsyncMessage,1
CommandMessageExt,flex.messaging.messages.CommandMessageExt,flex.messaging.messages.CommandMessageExt,1
AcknowledgeMessageExt,flex.messaging.messages.AcknowledgeMessageExt,flex.messaging.messages.AcknowledgeMessageExt,1
Mapper,com.thoughtworks.xstream.mapper.Mapper,com.thoughtworks.xstream.mapper.Mapper,1
