FileName,Node,ChatGPT Answer,Truth,Correct
gwt_class_50.java,ComplexPanel,com.google.gwt.user.client.ui.ComplexPanel,com.google.gwt.user.client.ui.ComplexPanel,1
gwt_class_50.java,HasText,com.google.gwt.user.client.ui.HasText,com.google.gwt.user.client.ui.HasText,1
gwt_class_50.java,HasHTML,com.google.gwt.user.client.ui.HasHTML,com.google.gwt.user.client.ui.HasHTML,1
gwt_class_50.java,HasClickHandlers,com.google.gwt.event.dom.client.HasClickHandlers,com.google.gwt.event.dom.client.HasClickHandlers,1
gwt_class_50.java,HasKeyDownHandlers,com.google.gwt.event.dom.client.HasKeyDownHandlers,com.google.gwt.event.dom.client.HasKeyDownHandlers,1
gwt_class_50.java,HasBlurHandlers,com.google.gwt.event.dom.client.HasBlurHandlers,com.google.gwt.event.dom.client.HasBlurHandlers,1
gwt_class_50.java,HandlerRegistration,com.google.gwt.event.shared.HandlerRegistration,com.google.gwt.event.shared.HandlerRegistration,1
gwt_class_50.java,DOM,com.google.gwt.user.client.DOM,com.google.gwt.user.client.DOM,1
gwt_class_50.java,Widget,com.google.gwt.user.client.ui.Widget,com.google.gwt.user.client.ui.Widget,1
gwt_class_50.java,ClickHandler,com.google.gwt.event.dom.client.ClickHandler,com.google.gwt.event.dom.client.ClickHandler,1
gwt_class_50.java,ClickEvent,com.google.gwt.event.dom.client.ClickEvent,com.google.gwt.event.dom.client.ClickEvent,1
gwt_class_50.java,KeyDownHandler,com.google.gwt.event.dom.client.KeyDownHandler,com.google.gwt.event.dom.client.KeyDownHandler,1
gwt_class_50.java,KeyDownEvent,com.google.gwt.event.dom.client.KeyDownEvent,com.google.gwt.event.dom.client.KeyDownEvent,1
gwt_class_50.java,BlurHandler,com.google.gwt.event.dom.client.BlurHandler,com.google.gwt.event.dom.client.BlurHandler,1
gwt_class_50.java,BlurEvent,com.google.gwt.event.dom.client.BlurEvent,com.google.gwt.event.dom.client.BlurEvent,1
