Class_5.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Map,java.util.Map,java.util.Map,1,-,-,0,1
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
LinkedList,java.util.LinkedList,java.util.LinkedList,1,java.util.LinkedList,java.util.LinkedList,1,1
Collections,java.util.Collections,java.util.Collections,1,java.util.Collections,java.util.Collections,1,1
Comparator,java.util.Comparator,java.util.Comparator,1,java.util.Comparator,java.util.Comparator,1,1
LinkedHashMap,java.util.LinkedHashMap,java.util.LinkedHashMap,1,java.util.LinkedHashMap,java.util.LinkedHashMap,1,1
HashMap,java.util.HashMap,java.util.HashMap,1,java.util.HashMap,java.util.HashMap,1,1
HashMap,java.util.HashMap,java.util.HashMap,1,java.util.HashMap,java.util.HashMap,1,1
TreeMap,java.util.TreeMap,java.util.TreeMap,1,java.util.TreeMap,java.util.TreeMap,1,1
TreeMap,java.util.TreeMap,java.util.TreeMap,1,java.util.TreeMap,java.util.TreeMap,1,1
Comparator,java.util.Comparator,java.util.Comparator,1,java.util.Comparator,java.util.Comparator,1,1
dl_correct:11,dl_accuracy:1.0,,rule_correct:10,rule_checked:10,rule_accuracy:1.0,rule_recall:0.9091
checked:11,total correct:11,total accuracy:1.0
