hibernate_class_8.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
MappedSuperclass,jakarta.persistence.MappedSuperclass,javax.persistence.MappedSuperclass,0,-,-,0,0
Date,java.util.Date,java.util.Date,1,java.util.Date,java.util.Date,1,1
Transient,java.beans.Transient,javax.persistence.Transient,0,java.beans.Transient,javax.persistence.Transient,0,0
new Date(),java.util.Date,java.util.Date,1,java.util.Date,java.util.Date,1,1
AssertTrue,java.lang.AssertTrue,org.hibernate.validator.AssertTrue,0,-,-,0,0
Temporal,org.hibernate.annotations.Temporal,javax.persistence.Temporal,0,-,-,0,0
NotNull,jakarta.persistence.NotNull,org.hibernate.validator.NotNull,0,-,-,0,0
Column,jakarta.persistence.Column,javax.persistence.Column,0,-,-,0,0
dl_correct:2,dl_accuracy:0.25,,rule_correct:2,rule_checked:3,rule_accuracy:0.6667,rule_recall:0.25
checked:8,total correct:2,total accuracy:0.25
