hibernate_class_39.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Transactional,jakarta.persistence.Transactional,org.springframework.transaction.annotation.Transactional,0,org.springframework.transaction.annotation.Transactional,org.springframework.transaction.annotation.Transactional,1,1
Serializable,java.io.Serializable,java.io.Serializable,1,java.io.Serializable,java.io.Serializable,1,1
GenericDao,java.util.GenericDao,org.appfuse.dao.GenericDao,0,org.appfuse.dao.GenericDao,org.appfuse.dao.GenericDao,1,1
SessionFactory,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,1
Session,org.hibernate.Session,org.hibernate.Session,1,org.hibernate.Session,org.hibernate.Session,1,1
Transaction,org.hibernate.Transaction,org.hibernate.Transaction,1,org.hibernate.Transaction,org.hibernate.Transaction,1,1
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
Map,java.util.Map,java.util.Map,1,java.util.Map,java.util.Map,1,1
SearchException,javax.management.SearchException,org.appfuse.dao.SearchException,0,org.appfuse.dao.SearchException,org.appfuse.dao.SearchException,1,1
dl_correct:6,dl_precision:0.6667,,rule_correct:9,rule_checked:9,rule_precision:1.0,rule_recall:1.0
checked:9,total correct:9,total precision:1.0
