xstream_class_27.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
Converter,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,com.sun.xml.internal.ws.commons.xmlutil.Converter,com.thoughtworks.xstream.converters.Converter,0,0
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,1
MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,1
WordUtils,com.thoughtworks.xstream.core.util.WordUtils,org.apache.commons.lang.WordUtils,0,org.apache.commons.lang.WordUtils,org.apache.commons.lang.WordUtils,1,1
Content,com.thoughtworks.acceptance.objects.Content,org.apache.http.client.fluent.Content,0,javax.swing.text.AbstractDocument.Content,org.apache.http.client.fluent.Content,0,0
HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,1
UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,com.sun.xml.internal.bind.v2.runtime.unmarshaller.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,0,0
dl_correct:6,dl_precision:0.75,,rule_correct:5,rule_checked:8,rule_precision:0.625,rule_recall:0.625
checked:8,total correct:5,total precision:0.625
