xstream_class_17.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
new XStream(),com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
XStreamAlias,com.sun.org.apache.xerces.internal.xni.parser.XStreamAlias,com.thoughtworks.xstream.annotations.XStreamAlias,0,com.thoughtworks.xstream.annotations.XStreamAlias,com.thoughtworks.xstream.annotations.XStreamAlias,1,1
Converter,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,com.sun.xml.internal.ws.commons.xmlutil.Converter,com.thoughtworks.xstream.converters.Converter,0,0
HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,1
MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,1
HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,1
UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,com.sun.xml.internal.bind.v2.runtime.unmarshaller.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,0,0
dl_correct:7,dl_precision:0.875,,rule_correct:6,rule_checked:8,rule_precision:0.75,rule_recall:0.75
checked:8,total correct:6,total precision:0.75
