xstream_class_2.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
IOException,java.io.IOException,java.io.IOException,1,java.io.IOException,java.io.IOException,1,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
new DomDriver(),com.thoughtworks.xstream.io.xml.DomDriver,com.thoughtworks.xstream.io.xml.DomDriver,1,com.thoughtworks.xstream.io.xml.DomDriver,com.thoughtworks.xstream.io.xml.DomDriver,1,1
FileReader,java.io.FileReader,java.io.FileReader,1,java.io.FileReader,java.io.FileReader,1,1
FileReader,java.io.FileReader,java.io.FileReader,1,java.io.FileReader,java.io.FileReader,1,1
BufferedReader,java.io.BufferedReader,java.io.BufferedReader,1,java.io.BufferedReader,java.io.BufferedReader,1,1
BufferedReader,java.io.BufferedReader,java.io.BufferedReader,1,java.io.BufferedReader,java.io.BufferedReader,1,1
dl_correct:8,dl_precision:1.0,,rule_correct:8,rule_checked:8,rule_precision:1.0,rule_recall:1.0
checked:8,total correct:8,total precision:1.0
