xstream_class_8.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
Activity,android.app.Activity,android.app.Activity,1,android.app.Activity,android.app.Activity,1,1
TextView,android.widget.TextView,android.widget.TextView,1,android.widget.TextView,android.widget.TextView,1,1
Bundle,java.util.Bundle,android.os.Bundle,0,android.os.Bundle,android.os.Bundle,1,1
SoapObject,java.io.SoapObject,org.ksoap2.serialization.SoapObject,0,org.ksoap2.serialization.SoapObject,org.ksoap2.serialization.SoapObject,1,1
SoapObject,android.ap.SoapObject,org.ksoap2.serialization.SoapObject,0,org.ksoap2.serialization.SoapObject,org.ksoap2.serialization.SoapObject,1,1
SoapSerializationEnvelope,javax.xml.soap.SoapSerializationEnvelope,org.ksoap2.serialization.SoapSerializationEnvelope,0,org.ksoap2.serialization.SoapSerializationEnvelope,org.ksoap2.serialization.SoapSerializationEnvelope,1,1
SoapSerializationEnvelope,org.ax.xml.soap.SoapSerializationEnvelope,org.ksoap2.serialization.SoapSerializationEnvelope,0,org.ksoap2.serialization.SoapSerializationEnvelope,org.ksoap2.serialization.SoapSerializationEnvelope,1,1
SoapEnvelope,com.sun.xml.internal.ws.api.message.SoapEnvelope,org.ksoap2.SoapEnvelope,0,org.ksoap2.SoapEnvelope,org.ksoap2.SoapEnvelope,1,1
HttpTransportSE,apache.http.HttpTransportSE,org.ksoap2.transport.HttpTransportSE,0,org.ksoap2.transport.HttpTransportSE,org.ksoap2.transport.HttpTransportSE,1,1
HttpTransportSE,org.apache.http.HttpTransportSE,org.ksoap2.transport.HttpTransportSE,0,org.ksoap2.transport.HttpTransportSE,org.ksoap2.transport.HttpTransportSE,1,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
new DomDriver(),com.thoughtworks.xstream.ioStreamxml.DomDriver,com.thoughtworks.xstream.io.xml.DomDriver,0,com.thoughtworks.xstream.io.xml.DomDriver,com.thoughtworks.xstream.io.xml.DomDriver,1,1
dl_correct:4,dl_precision:0.3077,,rule_correct:13,rule_checked:13,rule_precision:1.0,rule_recall:1.0
checked:13,total correct:13,total precision:1.0
