FileName,Node,ChatGPT Answer,Truth,Correct
Class_2.java,JFrame,javax.swing.JFrame,javax.swing.JFrame,1
Class_2.java,JPanel,javax.swing.JPanel,javax.swing.JPanel,1
Class_2.java,BorderLayout,java.awt.BorderLayout,java.awt.BorderLayout,1
Class_2.java,TitledBorder,javax.swing.border.TitledBorder,javax.swing.border.TitledBorder,1
Class_2.java,FlowLayout,java.awt.FlowLayout,java.awt.FlowLayout,1
Class_2.java,UIManager,javax.swing.UIManager,javax.swing.UIManager,1
Class_2.java,JComboBox,javax.swing.JComboBox,javax.swing.JComboBox,1
Class_2.java,JCheckBox,javax.swing.JCheckBox,javax.swing.JCheckBox,1
Class_2.java,ActionListener,java.awt.event.ActionListener,java.awt.event.ActionListener,1
Class_2.java,GridLayout,java.awt.GridLayout,java.awt.GridLayout,1
Class_2.java,JButton,javax.swing.JButton,javax.swing.JButton,1
Class_2.java,JScrollPane,javax.swing.JScrollPane,javax.swing.JScrollPane,1
Class_2.java,DefaultTableModel,javax.swing.table.DefaultTableModel,javax.swing.table.DefaultTableModel,1
Class_2.java,JTable,javax.swing.JTable,javax.swing.JTable,1
Class_2.java,Dimension,java.awt.Dimension,java.awt.Dimension,1
Class_2.java,new GridBagLayout(),java.awt.GridBagLayout,java.awt.GridBagLayout,1
Class_2.java,BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1
Class_2.java,Graphics2D,java.awt.Graphics2D,java.awt.Graphics2D,1
Class_2.java,GradientPaint,java.awt.GradientPaint,java.awt.GradientPaint,1
Class_2.java,Color,java.awt.Color,java.awt.Color,1
Class_2.java,ImageIcon,javax.swing.ImageIcon,javax.swing.ImageIcon,1
Class_2.java,JLabel,javax.swing.JLabel,javax.swing.JLabel,1
Class_2.java,JSplitPane,javax.swing.JSplitPane,javax.swing.JSplitPane,1
Class_2.java,SwingUtilities,javax.swing.SwingUtilities,javax.swing.SwingUtilities,1
