FileName,Node,ChatGPT Answer,Truth,Correct
Class_1.java,IOException,java.io.IOException,java.io.IOException,1
Class_1.java,Graphics,java.awt.Graphics,java.awt.Graphics,1
Class_1.java,FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1
Class_1.java,WindowAdapter,java.awt.event.WindowAdapter,java.awt.event.WindowAdapter,1
Class_1.java,Container,java.awt.Container,java.awt.Container,1
Class_1.java,Dimension,java.awt.Dimension,java.awt.Dimension,1
Class_1.java,BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1
Class_1.java,ObjectInputStream,java.io.ObjectInputStream,java.io.ObjectInputStream,1
Class_1.java,FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1
Class_1.java,Applet,java.applet.Applet,java.applet.Applet,1
