xstream_class_8.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_truth
Activity,android.app.Activity,android.app.Activity,1,android.app.Activity
TextView,android.widget.TextView,android.widget.TextView,1,android.widget.TextView
Bundle,java.util.Bundle,android.os.Bundle,0,android.os.Bundle
SoapObject,javax.xml.soap.SoapObject,org.ksoap2.serialization.SoapObject,0,org.ksoap2.serialization.SoapObject
SoapObject,javax.xml.soap.SoapObject,org.ksoap2.serialization.SoapObject,0,org.ksoap2.serialization.SoapObject
SoapSerializationEnvelope,com.sun.xml.internal.ws.ap.SoapSerializationEnvelope,org.ksoap2.serialization.SoapSerializationEnvelope,0,org.ksoap2.serialization.SoapSerializationEnvelope
SoapSerializationEnvelope,com.sun.xml.internal.ws.client.SoapSerializationEnvelope,org.ksoap2.serialization.SoapSerializationEnvelope,0,org.ksoap2.serialization.SoapSerializationEnvelope
SoapEnvelope,com.sun.xml.internal.ws.api.message.SoapEnvelope,org.ksoap2.SoapEnvelope,0,org.ksoap2.SoapEnvelope
HttpTransportSE,com.sun.xml.internal.ws.api.server.HttpTransportSE,org.ksoap2.transport.HttpTransportSE,0,org.ksoap2.transport.HttpTransportSE
HttpTransportSE,com.sun.xml.internal.ws.transport.http.HttpTransportSE,org.ksoap2.transport.HttpTransportSE,0,org.ksoap2.transport.HttpTransportSE
XStream,java.io.XStream,com.thoughtworks.xstream.XStream,0,com.thoughtworks.xstream.XStream
XStream,java.io.XStream,com.thoughtworks.xstream.XStream,0,com.thoughtworks.xstream.XStream
new DomDriver(),com.thoughtworks.xstream.io.xml.DomDriver,com.thoughtworks.xstream.io.xml.DomDriver,1,com.thoughtworks.xstream.io.xml.DomDriver
