xt1.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
XmlFriendlyNameCoder,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,1,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,1,1
XmlFriendlyNameCoder,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,1,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,1,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
Dom4JDriver,com.thoughtworks.xstream.io.xml.Dom,com.thoughtworks.xstream.io.xml.Dom,1,com.thoughtworks.xstream.io.xml.Dom4JDriver,com.thoughtworks.xstream.io.xml.Dom4JDriver,1,1
dl_correct:5,dl_accuracy:1.0,,rule_correct:5,rule_checked:5,rule_accuracy:1.0,rule_recall:1.0
checked:5,total correct:5,total accuracy:1.0

xt10.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
new StaxDriver(),com.thoughtworks.xstream.io.xml.StaxDriver,com.thoughtworks.xstream.io.xml.StaxDriver,1,com.thoughtworks.xstream.io.xml.StaxDriver,com.thoughtworks.xstream.io.xml.StaxDriver,1,1
messages,com.thoughtworks.xance.io.xml.ErrorWriterDriver.messages,com.sun.org.apache.xml.internal.serializer.utils.Utils.messages,0,java.lang.Object,com.sun.org.apache.xml.internal.serializer.utils.Messages,0,0
out,java.lang.System.out,java.lang.System.out,0,java.io.Writer,java.io.PrintStream,0,0
StringWriter,java.io.StringWriter,java.io.StringWriter,1,java.io.StringWriter,java.io.StringWriter,1,1
new StringWriter(),java.io.StringWriter,java.io.StringWriter,1,java.io.StringWriter,java.io.StringWriter,1,1
dl_correct:5,dl_accuracy:0.7143,,rule_correct:5,rule_checked:7,rule_accuracy:0.7143,rule_recall:0.7143
checked:7,total correct:5,total accuracy:0.7143

xt11.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
ByteArrayOutputStream,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,1
new ByteArrayOutputStream(),java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,1
Node,javax.xml.transform.Node,org.w3c.dom.Node,0,org.w3c.dom.Node,org.w3c.dom.Node,1,1
Source,javax.xml.transform.Source,javax.xml.transform.Source,1,javax.xml.transform.Source,javax.xml.transform.Source,1,1
DOMSource,javax.xml.transform.dom.DOMSource,javax.xml.transform.dom.DOMSource,1,javax.xml.transform.dom.DOMSource,javax.xml.transform.dom.DOMSource,1,1
dl_correct:4,dl_accuracy:0.8,,rule_correct:5,rule_checked:5,rule_accuracy:1.0,rule_recall:1.0
checked:5,total correct:5,total accuracy:1.0

xt12.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
ByteArrayOutputStream,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,1
new ByteArrayOutputStream(),java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,1
Transformer,javax.xml.transform.Transformer,javax.xml.transform.Transformer,1,javax.xml.transform.Transformer,javax.xml.transform.Transformer,1,1
