gwt_class_50.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_truth
ComplexPanel,com.google.gwt.user.client.ui.ComplexPanel,com.google.gwt.user.client.ui.ComplexPanel,1,com.google.gwt.user.client.ui.ComplexPanel
HasText,com.google.gwt.user.client.ui.HasText,com.google.gwt.user.client.ui.HasText,1,com.google.gwt.user.client.ui.HasText
HasHTML,com.google.gwt.user.client.ui.HasHTML,com.google.gwt.user.client.ui.HasHTML,1,com.google.gwt.user.client.ui.HasHTML
HasClickHandlers,com.google.gwt.event.dom.client.HasClickHandlers,com.google.gwt.event.dom.client.HasClickHandlers,1,com.google.gwt.event.dom.client.HasClickHandlers
HasKeyDownHandlers,com.google.gwt.event.dom.client.HasKeyDownHandlers,com.google.gwt.event.dom.client.HasKeyDownHandlers,1,com.google.gwt.event.dom.client.HasKeyDownHandlers
HasBlurHandlers,com.google.gwt.event.shared.HasBlurHandlers,com.google.gwt.event.dom.client.HasBlurHandlers,0,com.google.gwt.event.dom.client.HasBlurHandlers
HandlerRegistration,com.google.gwt.event.shared.HandlerRegistration,com.google.gwt.event.shared.HandlerRegistration,1,com.google.gwt.event.shared.HandlerRegistration
DOM,com.google.gwt.user.client.ui.DOM,com.google.gwt.user.client.DOM,0,com.google.gwt.user.client.DOM
Widget,com.google.gwt.user.client.ui.Widget,com.google.gwt.user.client.ui.Widget,1,com.google.gwt.user.client.ui.Widget
ClickHandler,com.google.gwt.event.dom.client.ClickHandler,com.google.gwt.event.dom.client.ClickHandler,1,com.google.gwt.event.dom.client.ClickHandler
ClickEvent,com.google.gwt.event.dom.client.ClickEvent,com.google.gwt.event.dom.client.ClickEvent,1,com.google.gwt.event.dom.client.ClickEvent
KeyDownHandler,com.google.gwt.event.dom.client.KeyDownHandler,com.google.gwt.event.dom.client.KeyDownHandler,1,com.google.gwt.event.dom.client.KeyDownHandler
KeyDownEvent,com.google.gwt.event.dom.client.KeyDownEvent,com.google.gwt.event.dom.client.KeyDownEvent,1,com.google.gwt.event.dom.client.KeyDownEvent
BlurHandler,com.google.gwt.event.client.BlurHandler,com.google.gwt.event.dom.client.BlurHandler,0,com.google.gwt.event.dom.client.BlurHandler
BlurEvent,com.google.gwt.dom.client.BlurEvent,com.google.gwt.event.dom.client.BlurEvent,0,com.google.gwt.event.dom.client.BlurEvent
