FileName,Node,ChatGPT Answer,Truth,Correct
hibernate_class_26.java,SessionFactory,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1
hibernate_class_26.java,Session,org.hibernate.Session,org.hibernate.Session,1
hibernate_class_26.java,Query,org.hibernate.Query,org.hibernate.Query,1
hibernate_class_26.java,List,java.util.List,java.util.List,1
hibernate_class_26.java,AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1
hibernate_class_26.java,new AnnotationConfiguration(),org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1
hibernate_class_26.java,SchemaExport,org.hibernate.tool.hbm2ddl.SchemaExport,org.hibernate.tool.hbm2ddl.SchemaExport,1
hibernate_class_26.java,Id,javax.persistence.Id,javax.persistence.Id,1
hibernate_class_26.java,GeneratedValue,javax.persistence.GeneratedValue,javax.persistence.GeneratedValue,1
hibernate_class_26.java,OneToOne,javax.persistence.OneToOne,javax.persistence.OneToOne,1
hibernate_class_26.java,Fetch,org.hibernate.annotations.FetchMode,org.hibernate.annotations.Fetch,0
hibernate_class_26.java,Entity,javax.persistence.Entity,javax.persistence.Entity,1
