hibernate_class_26.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_truth
SessionFactory,org.hibernate.engine.spi.SessionFactory,org.hibernate.SessionFactory,0,org.hibernate.SessionFactory
Session,org.hibernate.Session,org.hibernate.Session,1,org.hibernate.Session
Query,org.hibernate.orm.test.hql.Query,org.hibernate.Query,0,org.hibernate.Query
List,java.util.List,java.util.List,1,java.util.List
AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,org.hibernate.cfg.AnnotationConfiguration
new AnnotationConfiguration(),org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,org.hibernate.cfg.AnnotationConfiguration
SchemaExport,org.hibernate.tool.schema.internal.SchemaExport,org.hibernate.tool.hbm2ddl.SchemaExport,0,org.hibernate.tool.hbm2ddl.SchemaExport
Id,jakarta.persistence.Id,javax.persistence.Id,0,javax.persistence.Id
GeneratedValue,jakarta.persistence.GeneratedValue,javax.persistence.GeneratedValue,0,javax.persistence.GeneratedValue
OneToOne,jakarta.persistence.OneToOne,javax.persistence.OneToOne,0,javax.persistence.OneToOne
Fetch,org.hibernate.annotations.Fetch,org.hibernate.annotations.Fetch,1,org.hibernate.annotations.Fetch
Entity,jakarta.persistence.Entity,javax.persistence.Entity,0,javax.persistence.Entity
