hibernate_class_28.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_truth
Entity,jakarta.persistence.Entity,javax.persistence.Entity,0,javax.persistence.Entity
Serializable,java.io.Serializable,java.io.Serializable,1,java.io.Serializable
Id,jakarta.persistence.Id,javax.persistence.Id,0,javax.persistence.Id
GeneratedValue,jakarta.persistence.GeneratedValue,javax.persistence.GeneratedValue,0,javax.persistence.GeneratedValue
ManyToOne,jakarta.persistence.ManyToOne,javax.persistence.ManyToOne,0,javax.persistence.ManyToOne
JoinColumn,jakarta.persistence.JoinColumn,javax.persistence.JoinColumn,0,javax.persistence.JoinColumn
User,java.lang.User,library.model.User,0,library.model.User
OneToMany,jakarta.persistence.OneToMany,javax.persistence.OneToMany,0,javax.persistence.OneToMany
IndexColumn,jakarta.persistence.IndexColumn,org.hibernate.annotations.IndexColumn,0,org.hibernate.annotations.IndexColumn
List,java.util.List,java.util.List,1,java.util.List
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList
Column,jakarta.persistence.Column,javax.persistence.Column,0,javax.persistence.Column
