xstream_class_27.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Converter,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,-,-,0,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,-,-,0,1
HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,-,-,0,1
MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,-,-,0,1
WordUtils,com.thoughtworks.xstream.core.util.WordUtils,org.apache.commons.lang.WordUtils,0,-,-,0,0
Content,com.thoughtworks.acceptance.objects.Content,org.apache.http.client.fluent.Content,0,-,-,0,0
HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,-,-,0,1
UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,-,-,0,1
dl_correct:6,dl_accuracy:0.75,,rule_correct:0,rule_checked:0,rule_accuracy:0,rule_recall:0.0
checked:8,total correct:6,total accuracy:0.75
