Android14.java
Node,SNR_pred,SNR_truth,SNR_correct
URL,java.net.URL,java.net.URL,1
URL,java.net.URL,java.net.URL,1
HttpURLConnection,java.net.HttpURLConnection,java.net.HttpURLConnection,1
FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1
FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1
File,java.io.File,java.io.File,1
InputStream,-,-,0
MalformedURLException,java.net.MalformedURLException,java.net.MalformedURLException,1
ProtocolException,java.net.ProtocolException,java.net.ProtocolException,1
FileNotFoundException,java.io.FileNotFoundException,java.io.FileNotFoundException,1
IOException,java.io.IOException,java.io.IOException,1
