Android23.java
Node,SNR_pred,SNR_truth,SNR_correct
Activity,android.app.Activity,android.app.Activity,1
ImageView,android.widget.ImageView,android.widget.ImageView,1
Random,java.util.Random,java.util.Random,1
Bundle,android.os.Bundle,android.os.Bundle,1
new Random(),java.util.Random,java.util.Random,1
ListView,android.widget.ListView,android.widget.ListView,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1
ArrayAdapter,android.widget.ArrayAdapter,android.widget.ArrayAdapter,1
ArrayAdapter,android.widget.ArrayAdapter,android.widget.ArrayAdapter,1
Bitmap,android.graphics.Bitmap,android.graphics.Bitmap,1
URL,java.net.URL,java.net.URL,1
URL,java.net.URL,java.net.URL,1
MalformedURLException,java.net.MalformedURLException,java.net.MalformedURLException,1
HttpURLConnection,java.net.HttpURLConnection,java.net.HttpURLConnection,1
BitmapFactory,android.graphics.BitmapFactory,android.graphics.BitmapFactory,1
IOException,java.io.IOException,java.io.IOException,1
