Android43.java
Node,SNR_pred,SNR_truth,SNR_correct
HttpHost,org.apache.http.HttpHost,org.apache.http.HttpHost,1
HttpHost,org.apache.http.HttpHost,org.apache.http.HttpHost,1
HttpGet,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1
HttpGet,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1
HttpEntity,org.apache.http.HttpEntity,org.apache.http.HttpEntity,1
HttpClient,org.apache.http.client.HttpClient,org.apache.http.client.HttpClient,1
new DefaultHttpClient(),org.apache.http.impl.client.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,1
HttpResponse,org.apache.http.HttpResponse,org.apache.http.HttpResponse,1
EntityUtils,org.apache.http.util.EntityUtils,org.apache.http.util.EntityUtils,1
IOException,java.io.IOException,java.io.IOException,1
