Android38.java
Node,SNR_pred,SNR_truth,SNR_correct
DataOutputStream,java.io.DataOutputStream,java.io.DataOutputStream,1
File,java.io.File,java.io.File,1
File,java.io.File,java.io.File,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1
URL,java.net.URL,java.net.URL,1
URL,java.net.URL,java.net.URL,1
HttpURLConnection,java.net.HttpURLConnection,java.net.HttpURLConnection,1
DataOutputStream,java.io.DataOutputStream,java.io.DataOutputStream,1
MalformedURLException,java.net.MalformedURLException,java.net.MalformedURLException,1
IOException,java.io.IOException,java.io.IOException,1
DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1
DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1
InputStream,java.io.InputStream,java.io.InputStream,1
