Android17.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
HttpClient,org.apache.http.impl.HttpClient,org.apache.http.client.HttpClient,0,org.apache.http.client.HttpClient,org.apache.http.client.HttpClient,1,1
new DefaultHttpClient(),org.apache.http.client.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,0,org.apache.http.impl.client.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,1,1
HttpGet,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1,1
HttpGet,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1,1
URI,java.net.URI,java.net.URI,1,java.net.URI,java.net.URI,1,1
HttpResponse,org.apache.http.HttpResponse,org.apache.http.HttpResponse,1,org.apache.http.HttpResponse,org.apache.http.HttpResponse,1,1
Log,android.util.Log,android.util.Log,1,android.util.Log,android.util.Log,1,1
IOException,java.io.IOException,java.io.IOException,1,java.io.IOException,java.io.IOException,1,1
URISyntaxException,java.net.URISyntaxException,java.net.URISyntaxException,1,java.net.URISyntaxException,java.net.URISyntaxException,1,1
HttpEntity,org.apache.http.HttpEntity,org.apache.http.HttpEntity,1,org.apache.http.HttpEntity,org.apache.http.HttpEntity,1,1
InputStreamReader,java.io.InputStreamReader,java.io.InputStreamReader,1,java.io.InputStreamReader,java.io.InputStreamReader,1,1
InputStreamReader,java.io.InputStreamReader,java.io.InputStreamReader,1,java.io.InputStreamReader,java.io.InputStreamReader,1,1
dl_correct:10,dl_precision:0.8333,,rule_correct:12,rule_checked:12,rule_precision:1.0,rule_recall:1.0
checked:12,total correct:12,total precision:1.0
