Android34.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
TabActivity,android.app.TabActivity,android.app.TabActivity,1,android.app.TabActivity,android.app.TabActivity,1,1
TabContentFactory,android.widget.TabContentFactory,android.widget.TabHost.TabContentFactory,0,android.widget.TabHost.TabContentFactory,android.widget.TabHost.TabContentFactory,1,1
OnTabChangeListener,android.widget.TabInterface.OnTabChangeListener,android.widget.TabHost.OnTabChangeListener,0,android.widget.TabHost.OnTabChangeListener,android.widget.TabHost.OnTabChangeListener,1,1
OnClickListener,android.view.View.OnClickListener,android.view.View.OnClickListener,1,android.view.View.OnClickListener,android.view.View.OnClickListener,1,1
ListView,android.widget.ListView,android.widget.ListView,1,android.widget.ListView,android.widget.ListView,1,1
Bundle,java.util.Bundle,android.os.Bundle,0,android.os.Bundle,android.os.Bundle,1,1
TabHost,android.widget.TabHost,android.widget.TabHost,1,android.widget.TabHost,android.widget.TabHost,1,1
View,android.view.View,android.view.View,1,android.view.View,android.view.View,1,1
Log,android.util.Log,android.util.Log,1,android.util.Log,android.util.Log,1,1
dl_correct:6,dl_precision:0.6667,,rule_correct:9,rule_checked:9,rule_precision:1.0,rule_recall:1.0
checked:9,total correct:9,total precision:1.0
