Android38.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
DataOutputStream,java.io.DataOutputStream,java.io.DataOutputStream,1,java.io.DataOutputStream,java.io.DataOutputStream,1,1
File,java.io.File,java.io.File,1,java.io.File,java.io.File,1,1
File,java.io.File,java.io.File,1,java.io.File,java.io.File,1,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1,java.io.FileInputStream,java.io.FileInputStream,1,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1,java.io.FileInputStream,java.io.FileInputStream,1,1
URL,java.net.URL,java.net.URL,1,java.net.URL,java.net.URL,1,1
URL,java.net.URL,java.net.URL,1,java.net.URL,java.net.URL,1,1
HttpURLConnection,java.net.HttpURLConnection,java.net.HttpURLConnection,1,java.net.HttpURLConnection,java.net.HttpURLConnection,1,1
DataOutputStream,java.io.DataOutputStream,java.io.DataOutputStream,1,java.io.DataOutputStream,java.io.DataOutputStream,1,1
MalformedURLException,java.net.MalformedURLException,java.net.MalformedURLException,1,java.net.MalformedURLException,java.net.MalformedURLException,1,1
IOException,java.io.IOException,java.io.IOException,1,java.io.IOException,java.io.IOException,1,1
DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1,java.io.DataInputStream,java.io.DataInputStream,1,1
DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1,java.io.DataInputStream,java.io.DataInputStream,1,1
InputStream,java.io.InputStream,java.io.InputStream,1,java.io.InputStream,java.io.InputStream,1,1
dl_correct:14,dl_precision:1.0,,rule_correct:14,rule_checked:14,rule_precision:1.0,rule_recall:1.0
checked:14,total correct:14,total precision:1.0
