Android47.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
Activity,android.app.Activity,android.app.Activity,1,android.app.Activity,android.app.Activity,1,1
Bundle,java.util.Bundle,android.os.Bundle,0,android.os.Bundle,android.os.Bundle,1,1
DefaultHttpClient,android.net.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,0,org.apache.http.impl.client.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,1,1
new DefaultHttpClient(),android.net.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,0,org.apache.http.impl.client.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,1,1
HttpGet,android.net.HttpGet,org.apache.http.client.methods.HttpGet,0,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1,1
HttpGet,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1,1
TextView,android.widget.TextView,android.widget.TextView,1,android.widget.TextView,android.widget.TextView,1,1
ClientProtocolException,com.google.gwt.mobile.client.ClientProtocolException,org.apache.http.client.ClientProtocolException,0,-,-,0,0
IOException,java.io.IOException,java.io.IOException,1,-,-,0,1
dl_correct:4,dl_precision:0.4444,,rule_correct:7,rule_checked:7,rule_precision:1.0,rule_recall:0.7778
checked:9,total correct:8,total precision:0.8889
