gwt_class_39.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
RemoteServiceServlet,com.google.gwt.user.server.rpc.RemoteServiceServlet,com.google.gwt.user.server.rpc.RemoteServiceServlet,1,com.google.gwt.user.server.rpc.RemoteServiceServlet,com.google.gwt.user.server.rpc.RemoteServiceServlet,1,1
File,java.io.File,java.io.File,1,java.io.File,java.io.File,1,1
File,java.io.File,java.io.File,1,java.io.File,java.io.File,1,1
HttpServletResponse,javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletResponse,1,javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletResponse,1,1
ServletOutputStream,javax.servlet.ServletOutputStream,javax.servlet.ServletOutputStream,1,javax.servlet.ServletOutputStream,javax.servlet.ServletOutputStream,1,1
ServletContext,javax.servlet.ServletContext,javax.servlet.ServletContext,1,javax.servlet.ServletContext,javax.servlet.ServletContext,1,1
DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1,-,-,0,1
new DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1,-,-,0,1
new FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1,-,-,0,1
dl_correct:9,dl_accuracy:1.0,,rule_correct:6,rule_checked:6,rule_accuracy:1.0,rule_recall:0.6667
checked:9,total correct:9,total accuracy:1.0
